ticker,finnhub_symbol,analyst_skew,insider_mspr,news_7d,next_earnings,context_line,last_updated
CRUS,CRUS,buy-heavy,bullish MSPR 28,0,last 2026-03-31,Most analysts lean buy · Insiders bought more than they sold recently · Quiet news week · Last earnings: 31 Mar 2026,2026-05-28T08:24:23Z
DIOD,DIOD,mixed,bearish MSPR -100,1,last 2026-03-31,Analyst views are mixed · Insiders sold more than they bought recently · 1 news stories in the past week · Last earnings: 31 Mar 2026,2026-05-28T08:24:24Z
MU,MU,buy-heavy,no data,20,last 2026-03-31,Most analysts lean buy · Heavy news week: 20 stories · Last earnings: 31 Mar 2026,2026-05-28T08:24:25Z
NVDA,NVDA,buy-heavy,bearish MSPR -100,20,2026-06-30,Most analysts lean buy · Insiders sold more than they bought recently · Heavy news week: 20 stories · Next earnings around 30 Jun 2026,2026-05-28T08:24:26Z
PLAB,PLAB,buy-heavy,bearish MSPR -100,0,last 2026-03-31,Most analysts lean buy · Insiders sold more than they bought recently · Quiet news week · Last earnings: 31 Mar 2026,2026-05-28T08:24:27Z
QRVO,QRVO,sell-heavy,bearish MSPR -100,1,last 2026-03-31,Most analysts lean sell · Insiders sold more than they bought recently · 1 news stories in the past week · Last earnings: 31 Mar 2026,2026-05-28T08:24:28Z
SMCI,SMCI,mixed,neutral MSPR -20,20,last 2026-03-31,Analyst views are mixed · Insider trading looked balanced recently · Heavy news week: 20 stories · Last earnings: 31 Mar 2026,2026-05-28T08:24:29Z
TSM,TSM,buy-heavy,no data,20,last 2026-03-31,Most analysts lean buy · Heavy news week: 20 stories · Last earnings: 31 Mar 2026,2026-05-28T08:24:30Z
GEN,GEN,mixed,neutral MSPR -13,2,last 2026-03-31,Analyst views are mixed · Insider trading looked balanced recently · 2 news stories in the past week · Last earnings: 31 Mar 2026,2026-05-28T08:24:31Z
PATH,PATH,sell-heavy,bearish MSPR -100,8,last 2026-03-31,Most analysts lean sell · Insiders sold more than they bought recently · 8 news stories in the past week · Last earnings: 31 Mar 2026,2026-05-28T08:24:32Z
TENB,TENB,mixed,bearish MSPR -36,9,last 2026-03-31,Analyst views are mixed · Insiders sold more than they bought recently · 9 news stories in the past week · Last earnings: 31 Mar 2026,2026-05-28T08:24:33Z
EOG,EOG,mixed,bullish MSPR 100,11,last 2026-03-31,Analyst views are mixed · Insiders bought more than they sold recently · 11 news stories in the past week · Last earnings: 31 Mar 2026,2026-05-28T08:24:34Z
FSLR,FSLR,buy-heavy,bearish MSPR -100,7,last 2026-03-31,Most analysts lean buy · Insiders sold more than they bought recently · 7 news stories in the past week · Last earnings: 31 Mar 2026,2026-05-28T08:24:34Z
MPC,MPC,mixed,bullish MSPR 100,12,last 2026-03-31,Analyst views are mixed · Insiders bought more than they sold recently · 12 news stories in the past week · Last earnings: 31 Mar 2026,2026-05-28T08:24:35Z
PSX,PSX,mixed,bullish MSPR 100,13,last 2026-03-31,Analyst views are mixed · Insiders bought more than they sold recently · 13 news stories in the past week · Last earnings: 31 Mar 2026,2026-05-28T08:24:36Z
VLO,VLO,mixed,neutral MSPR 13,20,last 2026-03-31,Analyst views are mixed · Insider trading looked balanced recently · Heavy news week: 20 stories · Last earnings: 31 Mar 2026,2026-05-28T08:24:37Z
VST,VST,buy-heavy,bearish MSPR -100,16,last 2026-03-31,Most analysts lean buy · Insiders sold more than they bought recently · 16 news stories in the past week · Last earnings: 31 Mar 2026,2026-05-28T08:24:38Z
VWS.CO,VWS,no data,no data,0,no data,Quiet news week,2026-05-28T08:24:39Z
CNC,CNC,sell-heavy,bearish MSPR -100,12,last 2026-03-31,Most analysts lean sell · Insiders sold more than they bought recently · 12 news stories in the past week · Last earnings: 31 Mar 2026,2026-05-28T08:24:40Z
CVS,CVS,buy-heavy,bullish MSPR 100,20,last 2026-03-31,Most analysts lean buy · Insiders bought more than they sold recently · Heavy news week: 20 stories · Last earnings: 31 Mar 2026,2026-05-28T08:24:41Z
PFE,PFE,mixed,bullish MSPR 100,20,last 2026-03-31,Analyst views are mixed · Insiders bought more than they sold recently · Heavy news week: 20 stories · Last earnings: 31 Mar 2026,2026-05-28T08:24:42Z
B,B,buy-heavy,neutral MSPR 0,8,last 2026-03-31,Most analysts lean buy · Insider trading looked balanced recently · 8 news stories in the past week · Last earnings: 31 Mar 2026,2026-05-28T08:24:43Z
TXT,TXT,mixed,bullish MSPR 100,2,last 2026-03-31,Analyst views are mixed · Insiders bought more than they sold recently · 2 news stories in the past week · Last earnings: 31 Mar 2026,2026-05-28T08:24:44Z
ZBH,ZBH,mixed,neutral MSPR -10,4,last 2026-03-31,Analyst views are mixed · Insider trading looked balanced recently · 4 news stories in the past week · Last earnings: 31 Mar 2026,2026-05-28T08:24:45Z
QUBT,QUBT,buy-heavy,bullish MSPR 100,11,last 2026-03-31,Most analysts lean buy · Insiders bought more than they sold recently · 11 news stories in the past week · Last earnings: 31 Mar 2026,2026-05-28T08:24:46Z
ASTS,ASTS,mixed,bullish MSPR 100,17,last 2026-03-31,Analyst views are mixed · Insiders bought more than they sold recently · 17 news stories in the past week · Last earnings: 31 Mar 2026,2026-05-28T08:24:47Z
FLY,FLY,buy-heavy,no data,10,last 2026-03-31,Most analysts lean buy · 10 news stories in the past week · Last earnings: 31 Mar 2026,2026-05-28T08:24:48Z
IRDM,IRDM,buy-heavy,bearish MSPR -100,6,last 2026-03-31,Most analysts lean buy · Insiders sold more than they bought recently · 6 news stories in the past week · Last earnings: 31 Mar 2026,2026-05-28T08:24:49Z
MDA.TO,MDA,buy-heavy,no data,2,last 2026-03-31,Most analysts lean buy · 2 news stories in the past week · Last earnings: 31 Mar 2026,2026-05-28T08:24:50Z
PL,PL,buy-heavy,bullish MSPR 100,5,last 2026-03-31,Most analysts lean buy · Insiders bought more than they sold recently · 5 news stories in the past week · Last earnings: 31 Mar 2026,2026-05-28T08:24:50Z
SSIT.L,SSIT,no data,no data,N/A,no data,No Finnhub data for this listing,2026-05-28T08:24:51Z
SPIR,SPIR,no data,no data,N/A,no data,No Finnhub data for this listing,2026-05-28T08:24:52Z
STM,STM,no data,no data,N/A,no data,No Finnhub data for this listing,2026-05-28T08:24:53Z
BKSY,BKSY,no data,no data,N/A,no data,No Finnhub data for this listing,2026-05-28T08:24:54Z
LUNR,LUNR,no data,no data,N/A,no data,No Finnhub data for this listing,2026-05-28T08:24:55Z
RDW,RDW,no data,no data,N/A,no data,No Finnhub data for this listing,2026-05-28T08:24:56Z
SATL,SATL,no data,no data,N/A,no data,No Finnhub data for this listing,2026-05-28T08:24:57Z
AVIO.MI,AVIO,no data,no data,N/A,no data,No Finnhub data for this listing,2026-05-28T08:24:57Z
ETL.PA,ETL,no data,no data,N/A,no data,No Finnhub data for this listing,2026-05-28T08:24:58Z
KTOS,KTOS,no data,no data,N/A,no data,No Finnhub data for this listing,2026-05-28T08:24:59Z
SIDU,SIDU,no data,no data,N/A,no data,No Finnhub data for this listing,2026-05-28T08:25:00Z
VOYG,VOYG,no data,no data,N/A,no data,No Finnhub data for this listing,2026-05-28T08:25:01Z
RKLB,RKLB,no data,no data,N/A,no data,No Finnhub data for this listing,2026-05-28T08:25:02Z
RGTI,RGTI,no data,no data,N/A,no data,No Finnhub data for this listing,2026-05-28T08:25:03Z
QBTS,QBTS,no data,no data,N/A,no data,No Finnhub data for this listing,2026-05-28T08:25:03Z
IONQ,IONQ,no data,no data,N/A,no data,No Finnhub data for this listing,2026-05-28T08:25:04Z
GFS,GFS,no data,no data,N/A,no data,No Finnhub data for this listing,2026-05-28T08:25:05Z
AVGO,AVGO,no data,no data,N/A,no data,No Finnhub data for this listing,2026-05-28T08:25:06Z
QTUM,QTUM,no data,no data,N/A,no data,No Finnhub data for this listing,2026-05-28T08:25:07Z
INFQ,INFQ,no data,no data,N/A,no data,No Finnhub data for this listing,2026-05-28T08:25:08Z
SMH,SMH,no data,no data,N/A,no data,No Finnhub data for this listing,2026-05-28T08:25:09Z
MRVL,MRVL,no data,no data,N/A,no data,No Finnhub data for this listing,2026-05-28T08:25:10Z
