ticker,theme_slug,theme_label,linkage_one_liner,model_tier
MMM,auto,Industrial automation & robotics,Industrial materials — litigation and spin focus,screen_only
AOS,auto,Industrial automation & robotics,Water heaters and boilers — residential cycle,full
ABB,auto,Industrial automation & robotics,Robotics drives and electrification technology (NYSE),full
ABT,health,Health Tech,Devices plus diagnostics — Libre and structural heart,full
IBE.MC,energy,Energy transition & grids,Worlds largest renewables operator by capacity (Madrid),full
ACMR,quantum,Quantum / frontier compute,ACM Research China WFE — geopolitical listing risk,full
ADBE,ai,AI infra & compute,Creative and document AI — Firefly monetisation,screen_only
AMD,ai,AI infra & compute,CPUs GPUs and AI data-centre share story,full
ADYEN,fintech,Fintech & digital money,Adyen — unified commerce payments EU,screen_only
AEHR,quantum,Quantum / frontier compute,Aehr wafer-level burn-in for SiC reliability,full
AFRM,fintech,Fintech & digital money,BNPL — credit loss and funding cost sensitivity,screen_only
A,health,Health Tech,Agilent instruments and diagnostics services,full
ABNB,fintech,Fintech & digital money,Travel marketplace — supply and regulation,screen_only
AIR.PA,auto,Industrial automation & robotics,Aerospace and defence — commercial and military aircraft (Euronext Paris),full
EADSY,auto,Industrial automation & robotics,Airbus ADR — commercial jet backlog and helicopter mix,full
AIXA.DE,ai,AI infra & compute,MOCVD deposition for compound semiconductors (Xetra),full
ALFA.ST,auto,Industrial automation & robotics,Heat transfer separation and fluid handling (Stockholm),full
BABA,ai,AI infra & compute,China cloud and commerce — regulatory overhang,screen_only
ALGN,health,Health Tech,Align Invisalign — consumer discretionary sensitivity,full
ALLE,auto,Industrial automation & robotics,Allegion security hardware — commercial doors,full
AOSL,ai,AI infra & compute,Power discretes and small-signal — diversified semi,full
AMZN,ai,AI infra & compute,AWS and retail — hyperscaler capex and AI services optionality,full
AEP,energy,Energy transition & grids,Regulated utility — transmission investment,screen_only
AWK,energy,Energy transition & grids,Regulated water utility — infrastructure replacement,full
AME,auto,Industrial automation & robotics,Ametek precision instruments and power,full
AMGN,health,Health Tech,Biosimilars Repatha and MariTide GLP-1 pipeline — high leverage,full
AMKR,ai,AI infra & compute,Advanced chip packaging and test — 2.5D and 3D stacking,full
APH,ai,AI infra & compute,Interconnect for harsh environments — data centre cabling,full
ADI,ai,AI infra & compute,High-performance analog and mixed signal for data paths,full
ANGO,health,Healthcare innovation & AI in medicine,AngioDynamics — med devices vascular access,screen_only
APLD,quantum,Quantum / frontier compute,HPC and data-centre hosting — AI-adjacent play,full
AMAT,ai,AI infra & compute,Deposition etch and broad process equipment,full
APP,ai,AI infra & compute,AppLovin — mobile ad tech and AI,screen_only
ARGX.BR,health,Health Tech,Autoimmune biotech — Vyvgart (Brussels — also NASDAQ),full
ANET,ai,AI infra & compute,Data-centre switching for AI clusters,full
ARM,ai,AI infra & compute,Chip architecture licensing for AI inference across all devices,full
ARQQ,quantum,Quantum / frontier compute,Quantum encryption software small cap,full
ARRY,energy,Energy transition & grids,Utility-scale solar tracking — revenue declining; thesis under pressure,full
ASM.AS,ai,AI infra & compute,ALD and CVD deposition equipment for advanced chips (Amsterdam),full
ASML,ai,AI infra & compute,EUV lithography monopoly — every advanced chip passes through ASML,full
ASTS,quantum,Quantum / frontier compute,AST SpaceMobile — direct-to-cell satellite broadband,full
ALAB,ai,AI infra & compute,AI data centre connectivity — PCIe retimers and smart cable modules,full
AZN,health,Health Tech,Oncology and immunology pipeline — UK-listed dual NYSE (NASDAQ ADR),full
ATRO,auto,Industrial automation & robotics,Astronics — aircraft lighting and power distribution,full
T,cyber,Cybersecurity & digital trust,Telco — fibre and wireless cash flow,screen_only
ATCO-A.ST,auto,Industrial automation & robotics,Compressors vacuum and power tools — Swedish industrial (Stockholm),full
TEAM,cyber,Cybersecurity & digital trust,Atlassian — dev collaboration software,screen_only
ATO,energy,Energy transition & grids,Texas gas distribution — rate base growth,full
AVIO.MI,quantum,Quantum / frontier compute,Avio — space propulsion and launch systems (Borsa Italiana),full
ACLS,ai,AI infra & compute,Axcelis ion implant equipment for WFE,full
BANB.SW,health,Health Tech,Peptide CDMO — critical GLP-1 supply chain node (Swiss),full
BAESY,auto,Industrial automation & robotics,UK defense prime — electronic systems and US exposure,full
BA.L,auto,Industrial automation & robotics,Defence electronics cyber and space systems (LSE),full
BKR,energy,Energy transition & grids,LNG equipment and OFS diversification,screen_only
BAC,fintech,Fintech & digital money,Consumer and commercial bank — rate sensitivity,screen_only
B,auto,Industrial automation & robotics,Barrick Mining — gold and copper producer (NYSE: B),full
BAX,health,Health Tech,MedSurg and pharmaceuticals hospital supply chain,full
BESI.AS,ai,AI infra & compute,Die bonding and advanced packaging equipment (Amsterdam),full
BEAM,quantum,Quantum / frontier compute,Base editing — delivery and pipeline,screen_only
BRK-B,fintech,Fintech & digital money,Conglomerate — insurance float and industrials,screen_only
TECH,health,Health Tech,Bio-Techne reagents — biologics tools recurring,full
BIIB,health,Health Tech,Neuroscience and biosimilars — Leqembi and franchise resets,full
BNTX,health,Health Tech,BioNTech oncology plus Pfizer partnership economics,full
BLK,fintech,Fintech & digital money,Asset management — ETF and aladdin platform,screen_only
BKSY,quantum,Quantum / frontier compute,BlackSky — geospatial intelligence satellites,full
BE,energy,Energy transition & grids,Fuel cells and electrolyzers — cash burn risk,full
BA,auto,Industrial automation & robotics,Commercial aerospace duopoly — delivery ramp and balance sheet,full
BKNG,fintech,Fintech & digital money,Online travel — take rate and alternative accommodation,screen_only
BSX,health,Health Tech,Structural heart devices WATCHMAN and cardiology tech,full
BP,energy,Energy transition & grids,Integrated oil — transition spend and yield,screen_only
BMY,health,Healthcare innovation & AI in medicine,Oncology IO — patent cliffs and M&A,screen_only
BRKS,quantum,Quantum / frontier compute,Brooks automation cryogenics and vacuum,full
AVGO,ai,AI infra & compute,Networking and custom silicon for AI and cloud,full
BIP,energy,Energy transition & grids,Brookfield Infrastructure — toll roads utilities pipelines,full
BEP,energy,Energy transition & grids,Brookfield Renewable yieldCo — hydro wind solar mix,full
BWXT,energy,Energy transition & grids,Naval reactors and nuclear components — defense mix,full
CDNS,ai,AI infra & compute,EDA software duopoly — essential for chip design complexity,full
CCJ,energy,Energy transition & grids,Uranium mining and nuclear fuel supply — long-term contracts,full
CAMT,quantum,Quantum / frontier compute,Camtek inspection for advanced packaging,full
CNI,auto,Industrial automation & robotics,Canadian National — precision railroading,screen_only
CP,auto,Industrial automation & robotics,Canadian Pacific Kansas City merger synergies,screen_only
AFX.DE,health,Health Tech,Ophthalmic surgical devices and microsurgery (Xetra),full
CCL,fintech,Fintech & digital money,Cruise recovery — leverage and yields,screen_only
CARR,energy,Energy transition & grids,HVAC and refrigeration — heat pump tailwind,screen_only
CAT,auto,Industrial automation & robotics,Heavy machinery and services attach,full
CNC,health,Health Tech,Centene Medicaid exposure — state budget cycles,full
CNA.L,energy,Energy transition & grids,British Gas parent — UK retail energy and nuclear (LSE),full
LEU,energy,Energy transition & grids,Uranium conversion and HALEU — policy sensitive,full
CBRS,cyber,Cybersecurity & digital trust,Ciber / verify — IT services and security,full
CFLT,cyber,Cybersecurity & digital trust,Streaming data platform — real-time pipelines,full
SCHW,fintech,Fintech & digital money,Retail brokerage — rate on cash balances,screen_only
CHKP,cyber,Cybersecurity & digital trust,Mature firewall and subscription security — cash generative,full
LNG,energy,Energy transition & grids,Cheniere LNG export tolling — long-term contracts,full
CVX,energy,Energy transition & grids,Integrated oil — cash returns and LNG optionality,full
CRUS,ai,AI infra & compute,Audio and high-precision mixed-signal for consumer and auto,full
NET,cyber,Cybersecurity & digital trust,Edge security CDN and zero-trust networking — developer ecosystem,full
CME,fintech,Fintech & digital money,Derivatives clearing — vol and rates volume,screen_only
CGNX,auto,Industrial automation & robotics,Machine vision for factory automation — deep learning edge,full
COHR,ai,AI infra & compute,Optical interconnects and transceivers for AI data centre fabrics,full
COHU,quantum,Quantum / frontier compute,Cohu handler and test interface equipment,full
COIN,fintech,Fintech & digital money,Crypto exchange — regulatory and volume cyclicality,screen_only
COLO-B.CO,health,Health Tech,Ostomy continence and wound care devices (Copenhagen),full
CMCSA,cyber,Cybersecurity & digital trust,Cable broadband — capital return focus,screen_only
COP,energy,Energy transition & grids,US shale plus Alaska — production growth discipline,full
ED,energy,Energy transition & grids,NYC-centric wires — dense load pocket,full
CEG,energy,Energy transition & grids,Independent power and nuclear-heavy angle,full
CRWV,ai,AI infra & compute,CoreWeave — GPU cloud for AI workloads,screen_only
GLW,ai,AI infra & compute,Corning — optical fibre and display glass for DC builds,screen_only
CPNG,fintech,Fintech & digital money,Korea e-commerce — logistics and margin path,screen_only
CRSP,quantum,Quantum / frontier compute,CRISPR — sickle cell and oncology,screen_only
CRWD,cyber,Cybersecurity & digital trust,Endpoint and cloud workload protection leader,full
CSX,auto,Industrial automation & robotics,Eastern rail — industrial and intermodal,screen_only
CMI,auto,Industrial automation & robotics,Cummins engines plus Accelera hydrogen bet,full
